"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_id"
257.110911115918	3.92453475838688	0.681729625646677	5.75673201038335	8.57578897085927e-09	3.53595371612111e-07	"VaccDscaff1-augustus-gene-138.25"
336.566620179089	6.24413553549247	0.734687560189113	8.49903533671537	1.91172706829136e-17	4.03285493871416e-15	"VaccDscaff1-augustus-gene-140.18"
12.9863368438919	7.09714722373575	1.53154654786386	4.63397422274536	3.58711681011144e-06	8.45161989208335e-05	"VaccDscaff1-augustus-gene-148.24"
50.6315124208804	1.95718485941642	0.557983886160145	3.507601040032	0.000452166606357388	0.00568833467132332	"VaccDscaff1-augustus-gene-214.11"
18.9543060500541	3.60461931128284	1.01120736714605	3.56466875973838	0.000364315985889306	0.00472776868097553	"VaccDscaff1-augustus-gene-22.33"
57.7893097166555	2.18603844018813	0.640388824439501	3.41361116365741	0.000641079993258796	0.00766170832523127	"VaccDscaff1-augustus-gene-24.34"
17.7911476672181	2.92893657429988	0.989835189889328	2.95901439372686	0.00308624685801712	0.0288017955237379	"VaccDscaff1-augustus-gene-241.25"
14.3626000719912	7.24238524022697	1.48722569679458	4.86972841838095	1.11751734462894e-06	2.89628566660831e-05	"VaccDscaff1-augustus-gene-267.27"
20.3210609007585	4.03985927542209	1.00145330254146	4.03399665782705	5.4836098048852e-05	0.00092801911455436	"VaccDscaff1-augustus-gene-287.28"
9.83661066485316	5.70825389569888	1.60844580583602	3.54892522644361	0.000386806902386933	0.00495637940746901	"VaccDscaff1-augustus-gene-291.25"
53.1830002363454	2.64709904976094	0.582044854857609	4.54792964437169	5.41762393763246e-06	0.000123166082050787	"VaccDscaff1-augustus-gene-326.33"
45.7642328863705	4.32786626643053	0.84247063120394	5.13711232906215	2.78992208636499e-07	8.35227169815737e-06	"VaccDscaff1-augustus-gene-388.23"
15.3469540527916	4.11492378194374	1.05896211038732	3.88580832267801	0.000101989957298561	0.00158687976441724	"VaccDscaff1-augustus-gene-402.39"
6.64905421766026	6.13133109013168	1.68842792669995	3.63138455196925	0.00028190476031873	0.00382235886524843	"VaccDscaff1-augustus-gene-419.35"
45.8870513088517	3.17646345301736	0.764694645503538	4.15389786197039	3.26859118129671e-05	0.000584800603659614	"VaccDscaff1-augustus-gene-441.31"
11.314601819707	6.89838018842769	1.63649150310429	4.2153473912587	2.49393991923328e-05	0.0004693470748416	"VaccDscaff1-augustus-gene-461.69"
33.7572978320739	4.226999253936	0.865361948825548	4.88466041252773	1.03607263540194e-06	2.7252829043043e-05	"VaccDscaff1-augustus-gene-48.35"
217.186656341732	1.97998877822253	0.416133132282172	4.75806568768943	1.9545689925172e-06	4.8881472576818e-05	"VaccDscaff1-processed-gene-1.5"
94.52119948865	2.8187104061967	0.504167274241953	5.59082382019898	2.25994796349068e-08	8.47159148632782e-07	"VaccDscaff1-processed-gene-113.20"
12.8218787728223	2.91393915355085	0.987820240063662	2.94986783563278	0.00317909890752167	0.0293363236929085	"VaccDscaff1-processed-gene-132.14"
39.288706297323	8.69420710175054	1.34818037014533	6.44884563985552	1.12705279262146e-10	6.63863368952553e-09	"VaccDscaff1-processed-gene-196.2"
35.0960949032671	8.53135068718938	1.44378416004574	5.90902083793405	3.44147172504951e-09	1.53027402048648e-07	"VaccDscaff1-processed-gene-20.9"
138.943641231505	3.28322321549674	0.628362071959761	5.22504995449024	1.74108098265432e-07	5.40867999782784e-06	"VaccDscaff1-processed-gene-233.9"
51.350485071303	2.02003533337752	0.5903375256719	3.42183114833906	0.000622009288189571	0.00745342966072338	"VaccDscaff1-processed-gene-261.10"
15.1062931127005	7.31525334165068	1.59788001116142	4.57809928815217	4.6921997899941e-06	0.000107754289354523	"VaccDscaff1-processed-gene-292.4"
39.054917753618	2.18763886839362	0.67432803979995	3.24417603788597	0.00117790923780546	0.0128887993921995	"VaccDscaff1-processed-gene-312.15"
54.9507829543006	2.49596654612831	0.575024362680179	4.34062747271203	1.42076417644037e-05	0.000285759464401121	"VaccDscaff1-processed-gene-342.1"
105.981817118368	2.15538826202015	0.586433314064217	3.67541919998106	0.000237459187387098	0.00330366915458339	"VaccDscaff1-processed-gene-368.14"
50.4349134617501	2.11297676609812	0.609800097253111	3.46503186145128	0.000530168664399969	0.00652531879887669	"VaccDscaff1-processed-gene-370.12"
3.78077277234665	5.31678854333287	1.9399267317548	2.74071616020439	0.00613054418385697	0.0486528139035578	"VaccDscaff1-processed-gene-372.5"
48.9095058369381	3.19314833527915	0.63184698005879	5.05367349382924	4.3339226092883e-07	1.25200675123739e-05	"VaccDscaff1-processed-gene-374.16"
89.0113433559442	1.85763138753402	0.540820519914169	3.43483895143039	0.000592906076194367	0.00715192954409455	"VaccDscaff1-processed-gene-394.10"
1982.40809231782	2.17434114814778	0.400255408905909	5.43238417212474	5.56060471165394e-08	1.97032208357082e-06	"VaccDscaff1-processed-gene-420.2"
2389.298475519	2.26121106123414	0.649469607884386	3.48162721362732	0.00049837698784029	0.0061928461050675	"VaccDscaff1-processed-gene-434.10"
161.370008068198	1.62557400188647	0.4548148128311	3.57414480801033	0.000351374438817917	0.00458606839498896	"VaccDscaff1-processed-gene-44.3"
17.9876143942887	7.56708234249079	1.47547206998755	5.1285839267392	2.91929747927546e-07	8.71083797187753e-06	"VaccDscaff1-processed-gene-459.26"
20.7886265895913	2.7798815602417	0.920670078345097	3.01941121540361	0.00253266513198148	0.0244662464453717	"VaccDscaff1-processed-gene-459.9"
