"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"VaccDscaff1-augustus-gene-134.18" 1.20821159149459 3.67107216178858 3.17590563240056 1.1559134894741 0.24771654441902 NA
"VaccDscaff1-augustus-gene-135.23" 7.41563646261089 -0.919261065026976 1.13967226507849 -0.806601242475325 0.41989625768697 0.745310514719597
"VaccDscaff1-augustus-gene-135.24" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-137.16" 0.15187296397255 0.776745393330707 4.0804728567969 0.190356711241657 0.849029616819546 NA
"VaccDscaff1-augustus-gene-137.17" 0.905971408895784 3.25571596943198 3.92312097330331 0.829879066076984 0.406607161793105 NA
"VaccDscaff1-augustus-gene-138.20" 1233.7444322489 -1.10610988784015 0.374846912938661 -2.95083099169382 0.00316920277952066 0.0293046263129785
"VaccDscaff1-augustus-gene-138.25" 257.110911115918 3.92453475838688 0.681729625646677 5.75673201038335 8.57578897085927e-09 3.53595371612111e-07
"VaccDscaff1-augustus-gene-138.28" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-139.9" 0.141531777463746 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-14.20" 4.89575121128139 2.00028280152576 1.48157263308555 1.35010782249665 0.176981399530366 0.479007991801924
"VaccDscaff1-augustus-gene-14.21" 5.04726130859676 0.224052173837196 1.29286311742992 0.173299223109241 0.862416234322487 0.959353159130702
"VaccDscaff1-augustus-gene-14.22" 2.32078726841781 -0.66921644867226 2.32670557340161 -0.2876240364585 0.773634543600963 NA
"VaccDscaff1-augustus-gene-14.24" 0.351992748355886 -0.185027278882924 4.0804728567969 -0.045344567989154 0.963832663832906 NA
"VaccDscaff1-augustus-gene-140.18" 336.566620179089 6.24413553549247 0.734687560189113 8.49903533671537 1.91172706829136e-17 4.03285493871416e-15
"VaccDscaff1-augustus-gene-140.21" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-141.11" 26.2798014347597 0.990085755749358 0.796462061477239 1.24310472982605 0.21382924308705 0.528369671490775
"VaccDscaff1-augustus-gene-142.23" 1.10873981233565 -1.38751711597213 3.3466056455669 -0.4146043074451 0.678431594391371 NA
"VaccDscaff1-augustus-gene-143.27" 0.755351988120975 2.99341764085954 3.45579229569667 0.86620299622379 0.38637885056177 NA
"VaccDscaff1-augustus-gene-143.28" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-144.19" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-144.20" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-144.21" 1.9114763232976 -2.40087056907565 2.79252975396083 -0.859747533816008 0.389928226185631 NA
"VaccDscaff1-augustus-gene-144.23" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-144.24" 9.26521675137602 0.89499313048937 0.998716534990366 0.896143299057328 0.370176234196206 0.706176366013415
"VaccDscaff1-augustus-gene-145.14" 2.47382067310018 2.58541056409631 2.30903311239287 1.11969401834044 0.262844174930618 NA
"VaccDscaff1-augustus-gene-146.25" 3.47425877484717 0.88261185092539 1.84556368703375 0.478234296180778 0.632483454871569 0.876708975841916
"VaccDscaff1-augustus-gene-146.29" 1.97660905057475 -0.233954512483012 2.45598597577817 -0.0952588959344057 0.92410919042682 NA
"VaccDscaff1-augustus-gene-147.21" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-148.23" 1.20921542172545 3.67221709627023 2.87216623919063 1.27855311651635 0.201054468715696 NA
"VaccDscaff1-augustus-gene-148.24" 12.9863368438919 7.09714722373575 1.53154654786386 4.63397422274536 3.58711681011144e-06 8.45161989208335e-05
"VaccDscaff1-augustus-gene-148.25" 33.2862909216662 0.157389042517171 0.654492225015936 0.240475037749057 0.809962012561544 0.944827963196267
"VaccDscaff1-augustus-gene-149.10" 142.098059022846 -1.70743592967409 0.609993400180791 -2.79910557912273 0.00512443789443379 0.0419907643544796
"VaccDscaff1-augustus-gene-15.29" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-150.12" 0.301990469631928 1.67093956508304 4.03790131463183 0.413813868860089 0.67901042623145 NA
"VaccDscaff1-augustus-gene-150.13" 0.141531777463746 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-150.17" 8.0952711762378 0.77362945868283 1.08422034549162 0.713535271589139 0.475514595182324 0.786541373613943
"VaccDscaff1-augustus-gene-151.18" 0.178314335599442 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-151.20" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-151.21" 2.71891556773654 4.84125101347593 2.1686457293056 2.23238445452596 0.0255895643567886 0.135269777552698
"VaccDscaff1-augustus-gene-152.15" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-152.20" 0.15187296397255 0.776745393330707 4.0804728567969 0.190356711241657 0.849029616819546 NA
"VaccDscaff1-augustus-gene-153.12" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-153.16" 0.302868198788514 1.67457959272195 4.03757620212554 0.414748727674882 0.678325857098195 NA
"VaccDscaff1-augustus-gene-154.21" 0.868117579486912 -0.932269545116197 3.64725603825316 -0.255608472599226 0.798253175509298 NA
"VaccDscaff1-augustus-gene-154.22" 0.150744277258248 0.776745393330706 4.0804728567969 0.190356711241657 0.849029616819546 NA
"VaccDscaff1-augustus-gene-154.24" 0.178314335599442 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-155.25" 1.98295583156666 -1.73087429392417 2.31202252829892 -0.748640756194389 0.454073760295313 NA
"VaccDscaff1-augustus-gene-155.27" 4.61633394094084 0.139250711569047 1.39892867678424 0.0995409657975889 0.920708763389606 0.977727603922631
"VaccDscaff1-augustus-gene-155.32" 1.34367772283815 -1.78483565620434 2.59239848204428 -0.688488158192748 0.49114542490096 NA
"VaccDscaff1-augustus-gene-158.27" 0.658117225715381 -0.236374761630898 3.99167897096761 -0.059216876745376 0.952779367531899 NA
"VaccDscaff1-augustus-gene-159.15" 246.01021591659 -1.69554845298311 0.43273310984878 -3.91823138649044 8.92010589441812e-05 0.00141211658932403
"VaccDscaff1-augustus-gene-16.27" 0.283063554927492 -1.81383899404002 4.05937475762039 -0.446827184564575 0.654999841735575 NA
"VaccDscaff1-augustus-gene-16.30" 11.810736867931 -0.592108955878646 1.00673374966062 -0.58814851104202 0.556432614096581 0.840286306574907
"VaccDscaff1-augustus-gene-16.36" 4.4517608823226 -3.13997228739009 1.68844754680537 -1.8596800909398 0.0629308004148241 0.25191760395537
"VaccDscaff1-augustus-gene-160.34" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-160.35" 3.00122749458172 3.14134586042764 2.00816741970925 1.56428484477776 0.117750689601936 0.378899079595305
"VaccDscaff1-augustus-gene-160.36" 0.607491855890202 2.67858307823812 3.97252472304985 0.674277258161825 0.500135059658115 NA
"VaccDscaff1-augustus-gene-161.26" 5.89937700718144 -0.212266383546692 1.37946420849166 -0.153875963029725 0.877707537080173 0.962951749982372
"VaccDscaff1-augustus-gene-161.31" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-162.24" 0.658619140830812 -0.234288468501876 3.99149010299562 -0.0586969934676882 0.953193454076301 NA
"VaccDscaff1-augustus-gene-162.25" 0.987049051639264 -1.1817877974912 3.16762916227856 -0.37308274957322 0.709086857159457 NA
"VaccDscaff1-augustus-gene-162.26" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-162.27" 0.745010801612171 1.70798660115757 3.52964597197215 0.4838974261782 0.628458667102253 NA
